2F1	KLRG1	SLC25A5
GC1	OLFM4	SLC25A22
GCD10	CRLS1	TRMT6
GCL	GCA	GMCL1P1
GCN5	KAT2A	KAT2B
GCOM1	MYZAP	POLR2M
GCP	GOLGB1	OPN1MW
GCP2	FOLH1	GOLGA4	TUBGCP2
GCS	GCLC	UGCG
GDH	CRYL1	GLUD1	H6PD
GDN	MAML3	SERPINE2
GEMIN1	SMN1	SMN2
GF1	GATA1	SOS1
GGT	GGT1	GGT2
GID2	RMND5A	RMND5B
GIF	MIF	MT3
GIG1	CYR61	NKG7
GIP	C1QTNF1	GNAI2
GL	OSTM1	PPP1R3B
GLP1	GCG	ZGLP1
GLUC	GBA	GBA3
GLUR7	GRIK3	GRM7
GLUT10	SLC2A10	SLC2A11
GLUT6	SLC2A3P1	SLC2A6
GLUT8	SLC2A12	SLC2A8
GLYT1	MGAT1	SLC6A9
GLYT2	GGTA1P	SLC6A5
GNT1	UGT1A1	UGT1A6
GOT1	GOLT1A	GOLT1B
GP110	ADRM1	CD68
GP130	IL6ST	LRPPRC
GP180	CPD	PTPRC
GP40	CD7	PDPN
GPCR	GPBAR1	OXER1
GPRK7	GRK7	MKNK2
GPXL2	GPX1P1	GPX1P2
GRF2	RAPGEF1	RASGRF2
GRINL1A	GCOM1	POLR2M
GRIP1	LGALS12	NCOA2
GRTH	DDX25	THRB
GS1	HDHD1	MYO5A
GS2	PNPLA4	RAB27A
GSE	CELIAC2	CTLA4
GST1	GSPT1	GSTM1
GTK	CCBL1	FRK
GUCY2B	NPR2	NPR3
H1	CLIC4	RLN1	VPS45
H2	FGFR1	RLN2
H2-ALPHA	TUBA3D	TUBA4A
H2A.1	HIST1H2AE	HIST1H2AM
H2A/q	HIST2H2AA3	HIST2H2AC
H2B.1	HIST1H2BC	HIST2H2BE
H3	FGFR1	HIST2H3C	RLN3
H3.1	HIST1H3C	HIST1H3E
H4	CCDC6	FGFR1	HIST1H4F
H5	FGFR1	SEPT4	SEPT5
HAI	SPINT1	ST14
HAP	RARB	RTN3
HAP2	HAP1	NFYA
HARP	ANGPTL2	ANKS4B	PANK2	SMARCAL1
HB-1	HMHB1	PEG10
HBD	HBB	KRT121P
HBP	AZU1	HDLBP	HEBP1	SLBP
HBSCI	SCN1A	SCN2A
HC2	CYCSP38	PSMA1	SERPIND1
HC3	CYCSP24	PSMA2
HC5	CYCSP1	PSMB1
HC8	CYCSP35	PSMA3
HCA2	ADCY10	HCAR2	MAGEC3
HCA3	HCAR3	MAGEE2
HCAP	DCD	SMC3
HCC-2	CCL15	MRPS11
HCC-4	CCL16	RBMS1
HCCA2	MOB2	YY1AP1
HCG	CGA	CGB5	HTC2
HCNP	PEBP1	XAB2
HCP	AMBP	CPOX	PTPN6
HCP1	CYCSP51	PDE7A	PRMT1	SLC46A1
HCR	CCHCR1	CCRL2
HCS	CYCS	HLCS
HE2	SPAG11A	SPAG11B
HED	EDA	GJB6
HEN1	HENMT1	NHLH1
HEP	DNLZ	EPHB6
